DEFIProtocol,auditor,auditTime
Poly Network,BlockSec,10/11/2021
Poly Network,PeckShield,10/11/2021
Boy X Highspeed,Slow Mist,3/15/2021
Boy X Highspeed,Slow Mist,7/24/2021
Boy X Highspeed,Fairy Proof,7/16/2021
Boy X Highspeed,Fairy Proof,8/7/2021
Cream Finance,Trail of Bits,1/28/2021
Compound Labs,Trail of Bits,4/8/2019
Compound Labs,OpenZeppelin,8/23/2019
Compound Labs,Trail of Bits,8/16/2019
Compound Labs,OpenZeppelin,10/23/2019
Compound Labs,OpenZeppelin,2/9/2020
Compound Labs,OpenZeppelin,2/25/2020
Compound Labs,Trail of Bits,2/28/2020
Compound Labs,OpenZeppelin,4/26/2020
Compound Labs,OpenZeppelin,5/22/2020
Venus,Certik ,11/23/2020
EasyFi,Halborn,6/18/2021
EasyFi,Halborn,10/8/2021
Uranium Finance,HyperJump,4/16/2021
bZx,Certik ,9/4/2020
bZx,PeckShield,9/1/2020
bZx,Certik ,7/11/2020
bZx,Certik ,2/10/2020
bZx,ZK Labs,9/1/2018
PancakeBunny,Haechi Audit,1/18/2021
Alphahomora,PeckShield,10/5/2020
Alphahomora,PeckShield,3/6/2021
Alphahomora,OpenZeppelin,5/13/2021
Alphahomora,PeckShield,1/20/2021
Alphahomora,Quantstamp,2/14/2021
Vee Finance,Certik ,5/26/2021
Vee Finance,Slow Mist,9/9/2021
Vee Finance,Slow Mist,10/4/2021
Spartan Protocol,Certik ,10/5/2020
Paid Network,Certik ,1/26/2021
Harvest,Certik ,11/15/2020
Harvest,Haechi Audit,9/29/2020
Harvest,Least Authority,2/17/2021
Harvest,PeckShield,10/1/2020
xToken,Blockchain Labs NZ,7/10/2020
xToken,Certik ,11/11/2020
xToken,Alex Tikonoff,1/8/2021
xToken,PeckShield,4/20/2021
xToken,Quantstamp,6/3/2021
xToken,Iosiro,5/11/2021
Bancor,Nick Johnson,5/26/2017
Bancor,Consensys Diligence,7/26/2020
Bancor,Halborn,8/17/2020
Bancor,Certik ,10/9/2020
Bancor,PeckShield,10/11/2020
Bancor,PeckShield,2/27/2021
Popsicle Finance,Certik ,5/5/2021
Pickle Finance,MixBytes(),10/9/2020
Pickle Finance,MixBytes(),11/5/2020
Pickle Finance,Haechi Audit,11/9/2020
Pickle Finance,PeckShield,3/4/2021
Indexed Finance,Daniel Luca,1/10/2020
Indexed Finance,Mudit Gupta,1/12/2020
Rari Capital,Quantstamp,12/11/2020